periodo_denuncia,anio_denuncia,fecha_descarga,distrito_fiscal,especialidad,tipo_caso,generico,subgenerico,articulo,des_articulo,cantidad,ubigeo_pjfs,dpto_pjfs,prov_pjfs,dist_pjfs,fecha_corte
ENERO - MAYO,2023,06/06/2023,AMAZONAS,PENAL,DENUNCIA,CONTRA EL HONOR,"INJURIA,CALUMNIA Y DIFAMACION",130,Injuria,1,010101,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,19/06/2023
ENERO - MAYO,2023,06/06/2023,AMAZONAS,PENAL,DENUNCIA,CONTRA EL HONOR,"INJURIA,CALUMNIA Y DIFAMACION",131,Calumnia,2,010101,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,19/06/2023
ENERO - MAYO,2023,06/06/2023,AMAZONAS,PENAL,DENUNCIA,CONTRA EL HONOR,"INJURIA,CALUMNIA Y DIFAMACION",132,Difamación,2,010101,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,19/06/2023
ENERO - MAYO,2023,06/06/2023,AMAZONAS,PENAL,DENUNCIA,CONTRA EL ORDEN ECONOMICO,DE OTROS DELITOS ECONOMICOS,241-A,Corrupción en el ámbito privado,1,010101,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,19/06/2023
ENERO - MAYO,2023,06/06/2023,AMAZONAS,PENAL,DENUNCIA,CONTRA EL ORDEN FINANCIERO Y MONETARIO,DELITOS FINANCIEROS,246,Instituciones financieras ilegales,1,010101,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,19/06/2023
ENERO - MAYO,2023,06/06/2023,AMAZONAS,PENAL,DENUNCIA,CONTRA EL ORDEN FINANCIERO Y MONETARIO,DELITOS FINANCIEROS,247,Financiamiento por medio de información fraudulenta,2,010101,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,19/06/2023
ENERO - MAYO,2023,06/06/2023,AMAZONAS,PENAL,DENUNCIA,CONTRA EL ORDEN FINANCIERO Y MONETARIO,DELITOS MONETARIOS,252,Fabricación y falsificación de moneda de curso legal,1,010101,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,19/06/2023
ENERO - MAYO,2023,06/06/2023,AMAZONAS,PENAL,DENUNCIA,CONTRA EL ORDEN FINANCIERO Y MONETARIO,DELITOS MONETARIOS,254,Tráfico de moneda falsa,6,010101,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,19/06/2023
ENERO - MAYO,2023,06/06/2023,AMAZONAS,PENAL,DENUNCIA,CONTRA EL PATRIMONIO,ABIGEATO,189-A,Hurto de ganado,33,010101,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,19/06/2023
ENERO - MAYO,2023,06/06/2023,AMAZONAS,PENAL,DENUNCIA,CONTRA EL PATRIMONIO,ABIGEATO,189-B,Hurto de uso de ganado,6,010101,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,19/06/2023
ENERO - MAYO,2023,06/06/2023,AMAZONAS,PENAL,DENUNCIA,CONTRA EL PATRIMONIO,ABIGEATO,189-C,Robo de ganado ,1,010101,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,19/06/2023
ENERO - MAYO,2023,06/06/2023,AMAZONAS,PENAL,DENUNCIA,CONTRA EL PATRIMONIO,APROPIACION ILICITA,190,Apropiación ilícita común,31,010101,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,19/06/2023
